Factory Patch,Patch Type,Author,Patch Name,Description,Expression Pedal/External Switch Functionality,Left Stompswitch Functionality
0,STORE DEMO PATCH,Nihal Anand,Duck Friends,Self-playing synth loop and lofi vibrato guitar effect.,Speeds up synth sequence and vibrato,Toggles synth layers in and out.
1,STORE DEMO PATCH,Cuckoo,Chipman,Groovy sequence with MIDI synth playable on channel 1. Clean audio through.,Toe down decreases speed of sequence,Toggles hi hat track
2,STORE DEMO PATCH,Daniel Fisher,Fly Like,Gusting winds and a distant broadcast tower that slowly disappears into the aether. ,Toe down increases rate of synth pattern,Left stomp triggers synth pattern
3,STORE DEMO PATCH,Nihal Anand,With The Fish,Underwater sequence with playable keyboard module,N/A,N/A
4,STORE DEMO PATCH,Daniel Fisher,Lifes Bn Good,"An homage to Joe Walsh's ""Life's Been Good""  using a sequenced synth and overdriven guitar. Here comes a flock of wah wahs!",N/A,"Toggles off sequence, starts playback from beginning"
5,STORE DEMO PATCH,Dean Morris,Clown Shoes,A stereo vibrato with backing octave up. ,Toe down brings in reverb.,Shifts pitch shift up an octave and brings in reverb. Spooky!
6,STORE DEMO PATCH,Daniel Fisher,Franken Synth,"Stereo fuzz and phaser, hit left stomp for mad synth sound.","Toe down decreases invasion length, starting pitch on new trigger.",Triggers space invasion.
7,STORE DEMO PATCH,Dean Morris,WakkaPrePost,"Stereo envelope filter with overdrive before the filter on L and after the filter on R, into a stereo slapback delay. Funk city magic!",Toe down spreads out the filter a bit and creates infinite delay repeats,"Tap tempo of the slapback delay, or hold for infinite repeats"
8,STORE DEMO PATCH,Daniel Fisher,Dark Side,A familiar sequencer pattern with a nice title page. Reverb on guitar.,Toe down decreases speed of sequence,Brings in a low drone
9,STORE DEMO PATCH,Benn Jordan,A-Melody,A sequenced melody,Increases rate of sequence,Hold to slowly pitch up oscillators by 1 octave
10,STORE DEMO PATCH,Daniel Fisher,Play Thing,"Grid playable synth with a few different sounds, with fuzz and delay on audio. Trippy!",N/A,N/A
11,STORE DEMO PATCH,Dean Morris,Crunch Time,2 channel overdrive and fuzz,Toe down changes channel to fuzz,Toggles between fuzz and overdrive
12,STORE DEMO PATCH,Daniel Fisher,Fooled Again,A modulated filter that is only heard with incoming audio.,N/A,Left stomp turns on and off fuzz.
13,SMALL PEDAL BOARD,Dean Morris,Pedalboard,"Switch to performance mode to toggle chorus, delay w/ tails, and reverb","Toe down brings up chorus rate and depth, and delay feedback","Left stomp toggles chorus, middle stomp toggles delay, right stomp toggles reverb"
14,SMALL PEDAL BOARD,Nihal Anand,Stuck,Lightly overdriven reverb with 3 effects controlled by stompswitches in performance mode.,Toe down pushes up reverb decay to infinite.,"Left stomp triggers flange-ish tone, Middle stomp triggers octave up, Right stomp turns flange-ish tone into flange-ish tremolo."
15,SMALL PEDAL BOARD,Nihal Anand,So Loopy,"Three lo fi loopers, each controlled by a different stompswitch in performance mode.","Toe down pushes up reverb decay, tremolo and vibrato.","Left stomp triggers two main loopers, one regular and one half speed. Middle stomp triggers fragmented looper that bounces between normal and double speed. Right stomp triggers another looper through lofi cab sim."
16,SINGLE EFFECT,Mark Johnston,Weird Looper,Independent panners take signal from right and left inputs and pan them randomly into the outputs.,Toe down slows down the shifting of the panning values,Left stomp brings on delay
17,SINGLE EFFECT,Dean Morris,Syzygetic,"A stereo tap tempo flanger widened by harder picking, with a bit of reverb",Toe down increases flanger resonance and reverb,Tap tempo of flanger
18,SINGLE EFFECT,Evan Sirchuk,Whirlwind,A stereo reverb into a subtle drifting vibrato. Reverb ,Toe down increases vibrato depth,Left stop increases vibrato depth and reverb decay
19,SINGLE EFFECT,Dean Morris,Delay Trainer,A tap tempo clean delay with a fairly long feedback synced to a tap tempo simple kick. Experiment with different tap ratios and see how your notes line up to the kick.,"Toe down increases delay modulation until half way through expression pedal travel, then increases modulation rate",Taps tempo of delay and kick
20,SINGLE EFFECT,Dean Morris,Really Cookin,Stereo pushed overdrives with a slap of delay in front.,Toe down brings in flange tone,Hold for flange tone
21,SINGLE EFFECT,Dean Morris,Slow Grind,Homage to a long discontinued Boss unit. Slow attack but with a bit of slapback ping pong delay.,Toe down brings up delay modulation,Slowly brings up delay repeats to infinite
